authorID,new_country_code,new_afftype,Coder,firstName,genderize,doi,gender_prediction,race_prediction,race
10.1093/ct/qtab002+2.0,US,Education,Haley,Robin,male,10.1093/ct/qtab002,F,1.0,Black
10.1093/ccc/tcab036+1.0,AU,Education,Haley,Smith,male,10.1093/ccc/tcab036,M,2.0,Asian
10.1093/hcr/hqaa014+2.0,DE,Education,Haley,Katharina,female,10.1093/hcr/hqaa014,F,0.0,White
10.1093/ccc/tcab006+2.0,US,Education,Haley,Sharon,female,10.1093/ccc/tcab006,F,0.0,White
10.1093/hcr/hqab008+5.0,US,Education,Haley,Ryan,male,10.1093/hcr/hqab008,M,2.0,Asian
10.1093/hcr/hqab008+6.0,US,Education,Haley,Kenneth,male,10.1093/hcr/hqab008,M,0.0,White
10.1093/joc/jqab016+1.0,US,Education,Haley,Shardé,,10.1093/joc/jqab016,F,1.0,Black
10.1093/ct/qtz008+1.0,IL,Education,Haley,Oren,male,10.1093/ct/qtz008,M,0.0,White
10.1093/joc/jqab031+3.0,NL,Education,Haley,Timothy,male,10.1093/joc/jqab031,M,0.0,White
10.1093/joc/jqab004+2.0,US,Education,Haley,Ron,male,10.1093/joc/jqab004,M,0.0,White
10.1093/joc/jqab003+2.0,SE,Education,Haley,Adam,male,10.1093/joc/jqab003,M,4.0,Middle Eastern
10.1093/joc/jqab004+4.0,US,Education,Haley,Ralf,male,10.1093/joc/jqab004,M,0.0,White
10.1093/joc/jqaa041+5.0,US,Education,Haley,Emily,female,10.1093/joc/jqaa041,F,0.0,White
10.1093/joc/jqab031+5.0,US,Education,Michelle,Yphtach,,10.1093/joc/jqab031,M,0.0,White
10.1093/joc/jqaa041+3.0,US,Education,Michelle,Prateekshit,,10.1093/joc/jqaa041,M,2.0,Asian
10.1093/ccc/tcab031+1.0,US,Education,Michelle,Clare,female,10.1093/ccc/tcab031,F,0.0,White
10.1093/ct/qtaa032+1.0,US,Education,Michelle,Melissa,female,10.1093/ct/qtaa032,F,0.0,White
10.1093/joc/jqab041+5.0,US,Education,Michelle,Tiago,male,10.1093/joc/jqab041,M,3.0,Hispanic
10.1093/hcr/hqab011+2.0,US,Education,Michelle,Nicholas,male,10.1093/hcr/hqab011,M,0.0,White
10.1093/joc/jqaa041+4.0,US,Education,Michelle,Michael,male,10.1093/joc/jqaa041,M,0.0,White
10.1093/hcr/hqaa010+1.0,CN,Education,Michelle,Myojung,female,10.1093/hcr/hqaa010,F,2.0,Asian
10.1093/joc/jqz052+32.0,GB,Education,Michelle,Brittany,female,10.1093/joc/jqz052,F,0.0,White
10.1093/joc/jqab010+1.0,US,Education,Michelle,Stephen,male,10.1093/joc/jqab010,M,0.0,White
10.1093/joc/jqab002+6.0,US,Education,Michelle,Dale,male,10.1093/joc/jqab002,M,0.0,White
10.1093/hcr/hqaa013+1.0,NL,Education,Michelle,Marthe,female,10.1093/hcr/hqaa013,F,0.0,White
10.1093/joc/jqab026+4.0,US,Education,Michelle,Andrea,male,10.1093/joc/jqab026,F,0.0,White
10.1093/ccc/tcab038+1.0,US,Education,Michelle,Purba,female,10.1093/ccc/tcab038,F,2.0,Asian
10.1093/jcmc/zmab002+4.0,US,Education,Michelle,Adam,male,10.1093/jcmc/zmab002,M,0.0,White
10.1093/joc/jqab021+1.0,IL,Education,Michelle,Tommaso,male,10.1093/joc/jqab021,M,4.0,Middle Eastern
